List_Number,Close_of_Escrow_Date,Sold_Price,Zip_Code,Approx_SQFT,#_Bedrooms,#_Bathrooms
6012365,1/10/2020,240000,85374,2075,4,2.5
5964483,1/17/2020,320000,85260,1192,3,2
5989276,1/30/2020,4056000,85253,6655,5,5.5
5996710,1/30/2020,342000,85383,2245,4,3
6026752,1/24/2020,460139,85016,2154,3,2.5
5504757,1/27/2020,400000,85258,2010,3,3
5531219,1/3/2020,240000,85326,1125,3,1
5660565,1/31/2020,365000,85251,1252,2,2
5687422,1/7/2020,1300000,85255,4653,5,4.5
5961681,1/10/2020,287500,85037,2537,4,3
5895600,1/21/2020,2660000,85262,4025,4,5
5735909,1/6/2020,2184000,85253,4900,4,4.5
5991431,1/10/2020,700000,85213,2800,8,5
6013371,1/20/2020,240000,85208,1401,3,2.5
5748987,1/10/2020,685895,85142,2753,4,2.5
5753931,1/3/2020,1100000,85253,2239,2,2.5
5772903,1/17/2020,368000,85119,2632,4,2.5
5772488,1/30/2020,290950,85379,1990,3,2.5
5784740,1/9/2020,455000,85258,2259,3,3
5797342,1/31/2020,975000,85142,5218,4,5.5
6004833,1/2/2020,273000,85024,1571,3,2
5808983,1/21/2020,360215,85383,1447,2,2
5808986,1/30/2020,346739,85383,1447,2,2
5808989,1/21/2020,341002,85383,1447,2,2
5811238,1/13/2020,225324,85378,1363,3,2
5811247,1/3/2020,241190,85378,1729,3,2
5815208,1/28/2020,430000,85248,3166,3,2.5
5821507,1/23/2020,1158735,85253,2501,3,3
5827895,1/28/2020,390500,85012,1112,2,2
5830370,1/7/2020,625000,85018,2767,4,3
5832940,1/13/2020,825000,85118,4795,4,4
5833818,1/30/2020,342000,85388,2687,4,3
5835919,1/28/2020,845000,85215,5716,4,5
5840493,1/31/2020,2150000,85255,3693,3,3.5
5837623,1/21/2020,2650000,85014,9462,7,5.5
5837081,1/9/2020,805000,85268,4338,5,4.5
5838189,1/13/2020,187656,85212,1509,4,2
5864132,1/28/2020,2100000,85253,6982,5,4.5
5841657,1/10/2020,1500000,85377,5657,4,4.5
5843193,1/28/2020,418000,85142,2564,3,3.5
5847387,1/22/2020,625000,85304,4918,5,2.75
5868746,1/13/2020,605400,85086,3478,3,2.5
5845593,1/15/2020,855000,85020,2715,3,2
5946912,1/3/2020,590000,85012,2790,3,2
5847367,1/15/2020,162000,85018,811,1,1
5856658,1/6/2020,585000,85086,4225,5,4
6007866,1/17/2020,560500,85260,1685,2,2.5
5857261,1/23/2020,395000,85268,1830,2,2.5
5852585,1/21/2020,659000,85383,3412,4,3.5
5858086,1/17/2020,1250000,85255,4685,5,4
6003260,1/10/2020,450000,85338,5265,5,4.5
5857511,1/22/2020,251195,85142,1613,3,2
5874558,1/23/2020,3380000,85253,8196,6,6.5
5858360,1/28/2020,545000,85118,3924,6,3.5
5858658,1/29/2020,530000,85142,4012,5,4.5
5859262,1/9/2020,450000,85260,1610,2,2
5859242,1/16/2020,411000,85251,2033,3,2
5860090,1/15/2020,1200000,85377,2351,3,2.5
5986565,1/21/2020,249000,85335,2108,3,2.5
5860979,1/16/2020,2275000,85253,7370,7,9
5861770,1/14/2020,385000,85387,2100,3,2
5861772,1/22/2020,385000,85387,2100,3,2
5866903,1/28/2020,362000,85383,3119,4,3
5866312,1/15/2020,275000,85248,1922,2,2
5864831,1/17/2020,259990,85396,2163,3,2
5886262,1/9/2020,742000,85268,3875,4,4
5867398,1/29/2020,549500,85260,1700,2,2.5
5867341,1/24/2020,500605,85262,2470,5,3
5979656,1/14/2020,880000,85262,3295,3,2.5
5870942,1/10/2020,219400,85396,3120,4,3
